city,top_k_units,event_id_a,event_id_b,jaccard,intersection_count,union_count
Chicago,20,149,158,0.9047619048,19,21
Chicago,20,149,159,0.9047619048,19,21
Chicago,20,150,152,1,20,20
Chicago,20,150,153,1,20,20
Chicago,20,150,154,0.9047619048,19,21
Chicago,20,150,155,1,20,20
Chicago,20,150,156,1,20,20
Chicago,20,150,157,1,20,20
Chicago,20,150,158,1,20,20
Chicago,20,150,159,1,20,20
Chicago,20,152,153,1,20,20
Chicago,20,152,154,0.9047619048,19,21
Chicago,20,152,155,1,20,20
Chicago,20,152,156,1,20,20
Chicago,20,152,157,1,20,20
Chicago,20,152,158,1,20,20
Chicago,20,152,159,1,20,20
Chicago,20,153,154,0.9047619048,19,21
Chicago,20,153,155,1,20,20
Chicago,20,153,156,1,20,20
Chicago,20,153,157,1,20,20
Chicago,20,153,158,1,20,20
Chicago,20,153,159,1,20,20
Chicago,20,154,155,0.9047619048,19,21
Chicago,20,154,156,0.9047619048,19,21
Chicago,20,154,157,0.9047619048,19,21
Chicago,20,154,158,0.9047619048,19,21
Chicago,20,154,159,0.9047619048,19,21
Chicago,20,155,156,1,20,20
Chicago,20,155,157,1,20,20
Chicago,20,155,158,1,20,20
Chicago,20,155,159,1,20,20
Chicago,20,156,157,1,20,20
Chicago,20,156,158,1,20,20
Chicago,20,156,159,1,20,20
Chicago,20,157,158,1,20,20
Chicago,20,157,159,1,20,20
Chicago,20,158,159,1,20,20
Dallas,5,55,56,1,5,5
Dallas,5,55,57,1,5,5
Dallas,5,55,58,1,5,5
Dallas,5,55,59,1,5,5
Dallas,5,55,60,1,5,5
Dallas,5,55,61,1,5,5
Dallas,5,55,62,1,5,5
Dallas,5,55,63,1,5,5
Dallas,5,55,64,1,5,5
Dallas,5,56,57,1,5,5
Dallas,5,56,58,1,5,5
Dallas,5,56,59,1,5,5
Dallas,5,56,60,1,5,5
Dallas,5,56,61,1,5,5
Dallas,5,56,62,1,5,5
Dallas,5,56,63,1,5,5
Dallas,5,56,64,1,5,5
Dallas,5,57,58,1,5,5
Dallas,5,57,59,1,5,5
Dallas,5,57,60,1,5,5
Dallas,5,57,61,1,5,5
Dallas,5,57,62,1,5,5
Dallas,5,57,63,1,5,5
Dallas,5,57,64,1,5,5
Dallas,5,58,59,1,5,5
Dallas,5,58,60,1,5,5
Dallas,5,58,61,1,5,5
Dallas,5,58,62,1,5,5
Dallas,5,58,63,1,5,5
Dallas,5,58,64,1,5,5
Dallas,5,59,60,1,5,5
Dallas,5,59,61,1,5,5
Dallas,5,59,62,1,5,5
Dallas,5,59,63,1,5,5
Dallas,5,59,64,1,5,5
Dallas,5,60,61,1,5,5
Dallas,5,60,62,1,5,5
Dallas,5,60,63,1,5,5
Dallas,5,60,64,1,5,5
Dallas,5,61,62,1,5,5
Dallas,5,61,63,1,5,5
Dallas,5,61,64,1,5,5
Dallas,5,62,63,1,5,5
Dallas,5,62,64,1,5,5
Dallas,5,63,64,1,5,5
Dallas,10,55,56,1,10,10
Dallas,10,55,57,1,10,10
Dallas,10,55,58,1,10,10
Dallas,10,55,59,1,10,10
Dallas,10,55,60,1,10,10
Dallas,10,55,61,1,10,10
Dallas,10,55,62,1,10,10
Dallas,10,55,63,1,10,10
Dallas,10,55,64,1,10,10
Dallas,10,56,57,1,10,10
Dallas,10,56,58,1,10,10
Dallas,10,56,59,1,10,10
Dallas,10,56,60,1,10,10
Dallas,10,56,61,1,10,10
Dallas,10,56,62,1,10,10
Dallas,10,56,63,1,10,10
Dallas,10,56,64,1,10,10
Dallas,10,57,58,1,10,10
Dallas,10,57,59,1,10,10
Dallas,10,57,60,1,10,10
Dallas,10,57,61,1,10,10
Dallas,10,57,62,1,10,10
Dallas,10,57,63,1,10,10
Dallas,10,57,64,1,10,10
Dallas,10,58,59,1,10,10
Dallas,10,58,60,1,10,10
Dallas,10,58,61,1,10,10
Dallas,10,58,62,1,10,10
Dallas,10,58,63,1,10,10
Dallas,10,58,64,1,10,10
Dallas,10,59,60,1,10,10
Dallas,10,59,61,1,10,10
Dallas,10,59,62,1,10,10
Dallas,10,59,63,1,10,10
Dallas,10,59,64,1,10,10
Dallas,10,60,61,1,10,10
Dallas,10,60,62,1,10,10
Dallas,10,60,63,1,10,10
Dallas,10,60,64,1,10,10
Dallas,10,61,62,1,10,10
Dallas,10,61,63,1,10,10
Dallas,10,61,64,1,10,10
Dallas,10,62,63,1,10,10
Dallas,10,62,64,1,10,10
Dallas,10,63,64,1,10,10
Dallas,20,55,56,1,20,20
Dallas,20,55,57,1,20,20
Dallas,20,55,58,1,20,20
Dallas,20,55,59,1,20,20
Dallas,20,55,60,1,20,20
Dallas,20,55,61,1,20,20
Dallas,20,55,62,1,20,20
Dallas,20,55,63,1,20,20
Dallas,20,55,64,1,20,20
Dallas,20,56,57,1,20,20
Dallas,20,56,58,1,20,20
Dallas,20,56,59,1,20,20
Dallas,20,56,60,1,20,20
Dallas,20,56,61,1,20,20
Dallas,20,56,62,1,20,20
Dallas,20,56,63,1,20,20
Dallas,20,56,64,1,20,20
Dallas,20,57,58,1,20,20
Dallas,20,57,59,1,20,20
Dallas,20,57,60,1,20,20
Dallas,20,57,61,1,20,20
Dallas,20,57,62,1,20,20
Dallas,20,57,63,1,20,20
Dallas,20,57,64,1,20,20
Dallas,20,58,59,1,20,20
Dallas,20,58,60,1,20,20
Dallas,20,58,61,1,20,20
Dallas,20,58,62,1,20,20
Dallas,20,58,63,1,20,20
Dallas,20,58,64,1,20,20
Dallas,20,59,60,1,20,20
Dallas,20,59,61,1,20,20
Dallas,20,59,62,1,20,20
Dallas,20,59,63,1,20,20
Dallas,20,59,64,1,20,20
Dallas,20,60,61,1,20,20
Dallas,20,60,62,1,20,20
Dallas,20,60,63,1,20,20
Dallas,20,60,64,1,20,20
Dallas,20,61,62,1,20,20
Dallas,20,61,63,1,20,20
Dallas,20,61,64,1,20,20
Dallas,20,62,63,1,20,20
Dallas,20,62,64,1,20,20
Dallas,20,63,64,1,20,20
Houston,5,52,60,1,5,5
Houston,5,52,61,1,5,5
Houston,5,52,62,1,5,5
Houston,5,60,61,1,5,5
Houston,5,60,62,1,5,5
Houston,5,61,62,1,5,5
Houston,10,52,60,1,10,10
Houston,10,52,61,1,10,10
Houston,10,52,62,1,10,10
Houston,10,60,61,1,10,10
Houston,10,60,62,1,10,10
Houston,10,61,62,1,10,10
Houston,20,52,60,1,20,20
Houston,20,52,61,1,20,20
Houston,20,52,62,1,20,20
Houston,20,60,61,1,20,20
Houston,20,60,62,1,20,20
Houston,20,61,62,1,20,20
New York,5,98,99,1,5,5
New York,5,98,100,1,5,5
New York,5,98,101,1,5,5
New York,5,98,102,1,5,5
New York,5,98,103,1,5,5
New York,5,98,104,1,5,5
New York,5,98,105,1,5,5
New York,5,98,106,1,5,5
New York,5,98,107,1,5,5
New York,5,98,108,1,5,5
New York,5,98,109,1,5,5
New York,5,98,110,1,5,5
New York,5,98,111,1,5,5
New York,5,98,112,1,5,5
New York,5,98,113,1,5,5
New York,5,98,115,1,5,5
New York,5,98,116,1,5,5
New York,5,98,117,1,5,5
New York,5,98,119,1,5,5
New York,5,98,120,1,5,5
New York,5,98,121,1,5,5
New York,5,98,122,1,5,5
New York,5,98,123,1,5,5
New York,5,99,100,1,5,5
New York,5,99,101,1,5,5
New York,5,99,102,1,5,5
New York,5,99,103,1,5,5
New York,5,99,104,1,5,5
New York,5,99,105,1,5,5
New York,5,99,106,1,5,5
New York,5,99,107,1,5,5
New York,5,99,108,1,5,5
New York,5,99,109,1,5,5
New York,5,99,110,1,5,5
New York,5,99,111,1,5,5
New York,5,99,112,1,5,5
New York,5,99,113,1,5,5
New York,5,99,115,1,5,5
New York,5,99,116,1,5,5
New York,5,99,117,1,5,5
New York,5,99,119,1,5,5
New York,5,99,120,1,5,5
New York,5,99,121,1,5,5
New York,5,99,122,1,5,5
New York,5,99,123,1,5,5
New York,5,100,101,1,5,5
New York,5,100,102,1,5,5
New York,5,100,103,1,5,5
New York,5,100,104,1,5,5
New York,5,100,105,1,5,5
New York,5,100,106,1,5,5
New York,5,100,107,1,5,5
New York,5,100,108,1,5,5
New York,5,100,109,1,5,5
New York,5,100,110,1,5,5
New York,5,100,111,1,5,5
New York,5,100,112,1,5,5
New York,5,100,113,1,5,5
New York,5,100,115,1,5,5
New York,5,100,116,1,5,5
New York,5,100,117,1,5,5
New York,5,100,119,1,5,5
New York,5,100,120,1,5,5
New York,5,100,121,1,5,5
New York,5,100,122,1,5,5
New York,5,100,123,1,5,5
New York,5,101,102,1,5,5
New York,5,101,103,1,5,5
New York,5,101,104,1,5,5
New York,5,101,105,1,5,5
New York,5,101,106,1,5,5
New York,5,101,107,1,5,5
New York,5,101,108,1,5,5
New York,5,101,109,1,5,5
New York,5,101,110,1,5,5
New York,5,101,111,1,5,5
New York,5,101,112,1,5,5
New York,5,101,113,1,5,5
New York,5,101,115,1,5,5
New York,5,101,116,1,5,5
New York,5,101,117,1,5,5
New York,5,101,119,1,5,5
New York,5,101,120,1,5,5
New York,5,101,121,1,5,5
New York,5,101,122,1,5,5
New York,5,101,123,1,5,5
New York,5,102,103,1,5,5
New York,5,102,104,1,5,5
New York,5,102,105,1,5,5
New York,5,102,106,1,5,5
New York,5,102,107,1,5,5
New York,5,102,108,1,5,5
New York,5,102,109,1,5,5
New York,5,102,110,1,5,5
New York,5,102,111,1,5,5
New York,5,102,112,1,5,5
New York,5,102,113,1,5,5
New York,5,102,115,1,5,5
New York,5,102,116,1,5,5
New York,5,102,117,1,5,5
New York,5,102,119,1,5,5
New York,5,102,120,1,5,5
New York,5,102,121,1,5,5
